5,40,9,32,6,43,7,51,3,28,11,36,9,35,8,23,6,33,1,28,4,24,4,31,1,36,0,24,0,33,0,35,0,39,0,27,0,47,0,38,0,25,0,26,0,31,1,31,0,49,7,45,2,37,4,25,4,25,5,7,3,6,3,29,11,34,16,26,30,14,10,30,6,27,11,14,5,34,4,47,5,35,9,30,9,32,8,23,3,23,11,20,6,27,6,33,3,27,4,24,4,22,3,22,7,29,4,29,6,41,5,25,8,39,13,22,7,11,4,13,14,18,16,27,22,40,29,39,19,20,12,38,16,35,29,19,32,20,28,20,23,31,19,22,18,33,10,47,4,41,1,41,9,44,6,42,2,33,2,24,7,23,6,26,6,30,7,29,11,25,17,15,9,15,12,19,15,18,10,17,10,17,19,16,19,27,24,21,23,34,26,15,42,8,16,15,23,23,37,40,26,30,32,28,22,26,28,25,25,29,36,33,29,17,23,22,20,18,18,23,22,21,27,17,12,19,16,16,16,10,18,5,11,18,9,36,14,29,22,19,18,20,26,13,13,8,12,8,14,7,34,7,34,7,30,7,33,17,24,6,21,11,20,14,37,8,38,7,24,8,19,3,13,2,14,7,12,6,10,8,10,6,11,10,8,13,10,28,6,12,4,15,7,14,10,13,6,9,6,29
37,6,27,10,37,6,50,8,42,9,29,7,27,7,19,9,20,3,35,3,24,8,26,1,33,1,28,0,24,0,31,0,29,0,35,0,42,0,38,0,34,0,12,0,28,1,24,0,39,9,40,5,38,4,33,8,21,7,19,5,6,4,20,8,24,13,39,30,30,27,15,3,26,7,20,7,24,2,40,4,28,6,34,14,35,13,23,4,25,13,14,17,20,7,31,4,30,3,19,2,22,3,19,4,28,4,34,6,33,4,30,8,32,11,40,11,18,3,7,10,17,13,21,23,43,27,36,24,31,20,34,11,34,20,25,30,24,28,27,32,38,21,24,15,27,13,38,6,50,0,25,2,40,6,33,5,26,4,25,4,18,9,31,5,35,8,40,10,36,21,24,10,18,12,11,8,16,13,13,8,19,14,14,18,20,21,16,16,28,25,16,32,12,29,12,19,18,30,32,30,29,26,24,23,26,19,24,25,23,21,41,36,27,31,23,25,27,26,31,15,28,28,20,24,25,15,15,14,12,22,11,15,14,5,29,8,32,19,28,25,24,20,13,25,11,7,7,17,12,26,14,36,10,36,8,35,11,39,19,22,13,28,15,20,19,29,8,23,9,15,6,15,7,12,3,22,5,17,9,12,5,7,6,9,13,10,13,8,15,0,11,5,12,10,14,5,13,4,26,1
3,41,11,38,4,33,7,35,8,31,7,18,10,15,6,20,8,26,2,34,7,25,5,29,1,20,0,30,0,24,0,30,0,40,0,36,1,45,0,44,0,30,0,18,2,27,2,28,4,35,8,24,2,30,4,24,13,22,3,18,4,15,3,24,8,33,22,36,22,27,15,16,4,19,7,26,5,44,2,29,3,34,10,33,21,30,6,28,10,23,14,17,11,19,3,26,2,26,1,33,3,25,8,19,3,30,6,35,4,31,8,26,8,43,14,33,7,11,7,16,11,21,21,32,27,30,28,27,14,37,17,33,16,32,19,28,31,36,28,35,19,28,25,20,13,33,10,47,5,31,4,28,2,28,7,35,6,24,6,26,5,24,9,25,10,35,11,33,11,30,11,29,6,4,8,16,11,17,13,15,11,14,10,16,20,20,15,20,27,15,36,16,35,16,28,16,23,38,21,29,32,32,27,31,19,37,15,24,20,30,26,37,39,31,28,33,21,33,16,34,27,26,30,24,24,17,18,12,23,16,19,26,10,26,13,44,13,21,21,21,22,17,14,16,17,13,17,15,33,20,30,20,30,8,34,12,31,17,32,21,22,12,16,28,16,12,25,11,21,4,15,3,19,14,21,5,23,6,16,5,10,4,5,16,15,9,5,9,3,11,1,14,5,14,4,9,1,21,2,40
61,6,29,3,50,4,31,6,27,5,27,13,12,5,21,5,30,4,28,1,37,7,24,1,31,0,25,0,26,0,38,1,44,0,40,1,37,3,41,0,40,0,25,2,26,1,35,7,32,9,36,5,17,2,30,8,38,6,24,2,18,0,19,9,23,11,28,16,37,8,17,8,14,8,24,10,33,10,35,0,37,9,27,15,30,10,27,7,40,5,22,3,13,5,10,3,24,0,28,2,32,9,28,8,25,6,32,4,35,7,26,14,42,17,33,13,21,9,15,12,15,14,27,20,28,23,28,27,28,6,46,17,31,11,34,37,29,35,26,24,23,28,29,16,28,14,35,12,46,6,32,6,31,7,38,5,31,7,24,13,26,5,19,17,22,10,28,13,29,8,22,13,17,10,13,8,22,13,20,6,21,9,15,29,16,15,25,26,13,33,20,35,22,39,17,20,28,16,36,24,30,28,38,25,43,15,33,14,17,25,19,29,33,31,31,20,30,17,35,24,19,30,20,25,23,16,17,18,26,17,27,16,29,12,36,14,27,19,18,23,11,11,25,9,20,23,15,30,15,25,26,40,22,37,7,41,9,31,17,18,6,17,16,10,18,20,14,22,13,22,4,11,14,23,9,26,8,16,3,15,3,10,12,9,17,9,10,4,15,2,14,1,11,6,11,6,16,1,22,3
4,39,4,43,2,53,4,24,4,31,11,19,11,18,3,29,3,26,3,29,1,22,3,32,0,25,0,23,1,35,1,44,1,37,1,56,4,44,0,33,0,38,0,28,1,38,5,27,12,35,8,30,2,16,7,36,7,31,5,17,0,22,1,20,14,31,9,30,14,29,7,22,6,23,12,23,8,27,8,34,6,20,9,22,8,22,5,42,4,23,2,14,2,9,7,15,3,21,4,21,3,28,15,37,6,24,4,27,9,30,23,43,21,33,20,25,13,18,14,20,8,19,19,25,13,22,20,17,9,30,13,39,9,37,30,31,37,21,32,29,27,26,25,31,14,26,10,33,10,38,8,34,9,34,8,38,7,22,13,21,8,17,15,15,16,26,7,43,13,26,7,19,19,25,8,18,15,33,7,27,6,18,13,19,25,12,27,25,29,20,31,21,35,26,21,25,14,31,17,43,24,33,17,27,13,37,13,22,15,16,33,15,32,31,23,29,24,24,31,23,29,18,24,23,7,17,13,24,19,27,23,22,13,29,12,28,16,18,16,8,16,20,8,21,17,13,25,17,26,18,35,25,36,14,41,7,44,13,33,6,12,4,14,10,14,12,17,22,21,9,12,10,17,16,29,7,13,6,22,5,17,5,7,16,7,14,5,13,2,13,2,8,6,5,11,14,8,19,4,30
31,2,43,7,46,2,35,4,28,10,32,11,20,7,24,7,25,4,30,3,16,0,25,1,29,2,25,1,23,2,55,0,41,1,55,2,46,2,48,1,41,0,40,0,37,5,30,8,21,10,23,5,16,7,19,9,25,8,28,4,21,4,23,8,22,10,33,17,25,11,27,7,28,18,21,7,28,9,27,5,18,12,21,4,13,6,24,5,31,4,22,1,15,13,11,8,11,6,16,4,19,7,28,11,31,7,25,6,37,17,33,30,31,31,28,16,27,14,24,11,19,10,29,15,23,11,20,3,17,10,45,12,45,19,30,31,34,19,31,31,28,25,38,24,28,11,26,8,34,9,33,16,27,7,35,8,31,10,21,14,22,10,14,20,18,16,27,17,42,7,22,17,21,8,27,9,22,11,28,8,19,6,25,17,27,20,17,19,29,10,17,33,19,25,26,11,31,12,37,11,40,18,26,14,34,11,19,15,22,28,26,33,26,25,28,37,21,32,18,34,25,21,24,19,25,13,21,25,22,22,30,32,23,9,25,6,25,13,4,13,15,12,13,16,14,20,19,31,13,33,18,24,16,37,16,52,13,33,8,24,5,11,6,12,7,20,13,14,16,16,16,14,14,28,17,11,9,14,4,19,7,9,13,8,17,5,13,1,12,0,6,6,8,9,13,10,13,6,30,7
4,34,6,39,2,30,2,47,5,29,14,29,5,29,5,23,2,30,4,17,1,28,0,30,7,24,0,28,2,43,0,49,0,52,1,40,0,40,3,38,2,38,2,33,2,37,8,21,7,16,12,17,6,14,14,20,8,25,8,39,7,23,10,27,13,33,9,33,16,25,16,23,15,28,16,21,8,30,5,22,12,29,5,13,2,14,7,19,5,21,3,19,8,19,15,9,9,3,8,11,6,22,10,25,11,22,13,34,12,34,26,28,30,35,31,28,12,22,15,25,8,26,13,32,6,18,10,20,2,39,13,47,18,30,23,39,20,23,21,30,22,37,18,27,20,26,8,41,13,31,15,19,11,26,9,30,9,32,15,27,10,18,17,15,19,12,23,18,17,28,16,26,8,19,9,14,6,29,8,25,7,27,11,38,9,30,11,20,6,22,21,16,21,28,18,31,17,22,10,42,18,32,19,26,11,37,17,27,20,24,28,22,24,20,28,15,44,21,27,31,26,19,29,34,22,22,23,23,11,23,38,31,32,22,15,23,9,13,16,12,15,9,7,16,16,16,28,17,23,18,31,15,29,15,43,10,43,7,25,4,17,8,9,5,14,5,17,13,8,12,18,15,19,21,25,18,9,9,19,7,8,16,10,18,5,13,3,16,1,8,4,10,8,14,12,18,4,15,6,36
30,1,39,2,34,2,41,3,40,10,25,6,35,3,23,2,18,0,26,0,22,1,32,4,36,5,19,1,33,0,54,1,47,0,45,0,43,0,44,3,33,1,30,6,24,9,31,8,17,10,16,13,15,8,20,9,23,9,29,6,35,10,35,11,31,14,33,8,42,18,21,11,30,20,28,11,24,12,26,9,32,5,20,4,12,6,19,10,17,5,15,3,18,15,9,11,2,10,3,4,17,10,23,13,22,23,26,13,33,24,26,40,36,39,33,23,21,8,21,13,16,10,28,6,29,9,21,2,26,10,38,15,33,23,30,15,38,23,27,19,25,17,27,18,29,13,43,10,30,12,25,6,29,13,23,13,33,13,40,15,21,16,11,12,11,19,12,17,20,20,20,10,22,6,17,2,23,9,30,7,38,15,28,8,33,6,20,8,16,15,16,21,24,19,43,19,25,20,33,27,22,28,28,21,32,13,44,13,23,23,23,23,16,25,18,33,25,29,25,17,31,29,30,26,36,26,18,15,25,23,22,34,20,21,22,17,23,7,14,15,16,10,14,15,17,22,19,28,12,21,14,30,14,21,12,47,5,35,7,33,4,17,6,8,6,15,9,15,14,11,16,14,16,27,21,17,16,16,7,17,16,3,17,7,10,3,8,10,15,10,14,10,15,12,29,13,15,8,30,8
4,35,2,40,3,42,5,32,6,29,6,31,1,32,2,17,1,20,1,29,0,30,2,31,2,33,3,38,0,53,0,58,5,40,1,60,0,42,1,46,3,34,2,22,10,16,10,16,9,14,9,14,17,20,6,23,6,18,9,29,5,31,7,32,12,24,12,33,8,24,12,14,10,34,16,25,14,28,13,19,11,21,6,22,3,14,7,19,9,8,5,19,18,17,9,5,5,5,6,11,9,24,6,16,20,25,26,29,23,21,37,36,46,25,28,23,16,18,9,15,11,23,11,16,9,27,3,37,3,48,15,28,18,32,20,35,19,29,24,25,18,26,12,27,14,40,8,34,11,35,17,31,9,31,9,31,13,28,19,30,21,21,18,6,15,14,9,17,13,21,11,17,7,21,10,18,8,29,4,30,14,38,10,23,10,19,8,12,8,16,17,22,20,27,25,29,23,33,24,25,35,14,24,30,13,44,14,43,18,25,22,18,28,24,30,28,19,29,14,33,20,35,25,44,25,33,19,29,21,37,33,18,28,17,16,20,11,20,11,13,17,20,13,9,27,15,30,13,23,10,29,17,24,13,33,11,32,4,35,4,28,6,18,8,11,7,19,19,13,17,6,19,20,16,24,22,17,7,18,9,13,18,10,14,7,9,12,7,8,17,17,14,13,23,18,38,12,23,10,27
28,1,33,3,45,6,40,8,31,5,35,3,30,2,25,0,26,1,18,1,26,1,31,1,39,2,31,0,48,0,66,4,48,7,40,0,54,2,32,6,44,5,32,5,17,14,8,13,20,9,10,16,15,17,17,8,19,10,22,6,36,6,33,10,20,4,25,10,12,8,14,11,23,5,27,13,18,10,27,12,25,9,18,3,22,2,20,5,13,13,9,18,19,28,12,8,6,5,10,12,12,8,19,11,17,30,24,30,24,36,30,29,35,35,32,24,15,9,23,12,15,17,21,9,13,4,32,1,52,6,39,15,27,21,39,13,42,16,36,21,29,16,33,20,33,8,39,8,28,24,41,17,27,7,29,9,17,16,28,19,26,28,14,16,14,12,19,5,22,11,18,12,17,11,27,11,20,5,22,4,26,10,30,12,21,15,15,14,12,7,12,8,15,31,22,23,27,33,33,27,21,20,30,23,35,19,38,18,34,21,18,24,26,33,33,19,28,13,27,12,31,24,43,22,47,18,30,16,27,31,24,41,16,28,14,16,15,16,18,16,17,13,8,27,13,28,13,24,11,22,15,43,15,24,20,24,10,27,2,34,7,30,4,11,9,11,22,14,13,10,18,11,20,25,17,23,17,17,7,12,15,19,11,15,9,14,7,12,6,9,11,14,18,15,27,17,40,8,36,6
